,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
92,Rural,0.75,0.75,0.5,True,0.2076,0.141,0.5097,1.1027,1.3049,3.7526,-327.24,winter,225.07,Rural,False,0.2548,0.0,0.5119,1.2738,1.3374,11.2912,-296.644,winter,249.39,0.8147566718995289,1.103140464664716,0.9024820562171699
93,Rural,0.75,0.75,0.75,True,0.2066,0.1376,0.5076,1.0556,1.2861,3.9704,-343.452,winter,224.25,Rural,False,0.2541,0.0,0.5121,1.2186,1.3374,11.2912,-296.644,winter,248.88,0.8130657221566313,1.1577918312859858,0.901036644165863
94,Rural,0.75,0.75,1.0,True,0.2096,0.129,0.5256,1.0318,1.289,3.9505,347.432,summer,227.75,Rural,False,0.2576,0.0,0.5203,1.1804,1.3374,11.2912,-296.644,winter,247.68,0.813664596273292,1.17120858672348,0.9195332687338501
95,Rural,0.75,1.0,0.0,True,0.2188,0.1341,0.5562,1.1179,1.6738,3.0791,-432.552,winter,263.77,Rural,False,0.2661,0.0,0.577,1.268,1.7815,9.4673,-338.636,winter,272.89,0.8222472754603533,1.277336136736791,0.9665799406354209
96,Rural,0.75,1.0,0.25,True,0.218,0.134,0.5576,1.0775,1.6805,3.1447,-436.936,winter,263.74,Rural,False,0.2668,0.0,0.5804,1.2225,1.7787,9.5007,-328.34,winter,272.95,0.8170914542728637,1.330742522994457,0.966257556328998
97,Rural,0.75,1.0,0.5,True,0.2173,0.1292,0.5714,1.0282,1.6738,3.2109,-436.888,winter,269.11,Rural,False,0.2676,0.0,0.5855,1.1865,1.7787,9.5007,-328.34,winter,274.59,0.81203288490284,1.3305963330693793,0.9800429731599841
98,Rural,0.75,1.0,0.75,True,0.2183,0.1254,0.5749,0.9939,1.6609,3.3586,-453.044,winter,268.91,Rural,False,0.2665,0.0,0.5856,1.1362,1.7787,9.5007,-328.34,winter,275.22,0.8191369606003752,1.3798014253517696,0.9770728871448295
99,Rural,0.75,1.0,1.0,True,0.2202,0.1232,0.5951,0.9673,1.6609,3.3348,-456.552,winter,275.11,Rural,False,0.2697,0.0,0.5938,1.0997,1.7787,9.5007,-328.34,winter,275.83,0.8164627363737487,1.3904854723761957,0.9973896965522243
100,Rural,1.0,0.0,0.0,True,0.1895,0.278,0.2417,1.505,0.0,inf,189.088,transition,166.92,Rural,False,0.1808,0.0,0.2193,1.5146,0.0,inf,197.288,summer,183.76,1.0481194690265487,0.9584363975507886,0.9083587287766652
101,Rural,1.0,0.0,0.25,True,0.1771,0.2654,0.33,1.7431,0.0,inf,258.724,transition,226.61,Rural,False,0.1807,0.0,0.3033,1.8656,0.0,inf,269.18,summer,253.11,0.9800774764803543,0.9611561037224161,0.895302437675319
